,order_id,tip
10,1187899,
25,1492625,
49,2196797,
74,525192,
78,880375,
82,1094988,
88,1822501,
115,1827621,
129,2316178,
200,2180313,
207,2461523,
256,1854765,
277,3402036,
296,965160,
395,2614670,
439,3110252,
448,62370,
485,698604,
557,1524161,
570,3173750,
594,2032076,
611,2803975,
623,1864787,
627,2436259,
652,1947848,
658,2906490,
669,2924697,
678,519514,
746,1750084,
778,1647290,
782,3088145,
868,39325,
881,13318,
923,1651215,
948,1019719,
988,2989905,
999,2639013,
1014,1072954,
1021,34647,
1046,2757217,
1073,669729,
1097,3038639,
1110,2608424,
1124,482516,
1158,3294399,
1178,1700658,
1186,21708,
1199,2178718,
1207,1734166,
1227,859654,
1234,2424438,
1243,2276967,
1269,613340,
1297,1855447,
1305,3081445,
1326,2222431,
1398,1318796,
1414,637547,
1435,1179185,
1454,1227088,
1471,531345,
1477,3178964,
1511,1289863,
1545,2591641,
1563,926418,
1569,2364180,
1577,2298088,
1581,2549875,
1605,515014,
1612,1997693,
1633,72069,
1641,3105153,
1668,3032922,
1674,1645824,
1679,2759030,
1692,2618023,
1699,878518,
1711,1438423,
1739,1248129,
1743,461193,
1747,961032,
1758,2652217,
1799,1721370,
1808,2733614,
1822,1543042,
1863,1095948,
1879,2437480,
1889,2106151,
1914,2887138,
1947,3001617,
1992,455775,
1997,2233425,
2074,2560500,
2125,2696946,
2140,1993128,
2148,242208,
2157,3395341,
2198,673776,
2212,318441,
2220,3348216,
2268,1575396,
2425,1897207,
2434,3294802,
2458,2133144,
2479,3123006,
2506,2564128,
2517,2608262,
2538,2742787,
2568,767489,
2579,1500681,
2631,2060922,
2659,537105,
2683,1505214,
2690,2433199,
2711,3412247,
2717,1464402,
2767,1007973,
2779,3362166,
2786,2887658,
2827,475324,
2845,2715293,
2868,1308123,
2874,3155162,
2880,1962299,
2949,1458129,
2974,739987,
2980,3048264,
2984,2066158,
3002,2780124,
3020,2897229,
3079,1447810,
3092,2177938,
3121,307237,
3144,1706500,
3164,1826981,
3264,3176785,
3269,2708761,
3282,3084045,
3288,2477435,
3316,3053806,
3322,75622,
3352,1131395,
3359,1841249,
3393,1902701,
3410,1848434,
3505,1789152,
3555,180627,
3559,2041929,
3593,2615515,
3648,568023,
3659,382581,
3663,2499603,
3791,1179928,
3853,1016866,
3859,2941534,
3865,688931,
3897,2193979,
3925,2698993,
3939,2624849,
4020,142062,
4032,524863,
4048,2298194,
4052,2727415,
4069,2008056,
4088,961500,
4134,1056167,
4138,1976038,
4156,3227316,
4165,1162736,
4211,1905437,
4245,2383385,
4269,1665716,
4306,676206,
4322,985905,
4332,2662084,
4352,2014989,
4465,3411419,
4522,3059590,
4557,445784,
4563,145016,
4580,3261724,
4585,78426,
4589,3529,
4608,1184332,
4658,1473392,
4715,1374681,
4733,2692535,
4749,1911431,
4773,405264,
4780,208213,
4796,1979266,
4845,1546561,
4927,540284,
4932,1940141,
4957,1957838,
5022,2600069,
5122,988,
5243,2956359,
5249,877974,
5254,3072356,
5281,1640076,
5298,1054904,
5353,1684761,
5425,3012300,
5437,1215744,
5445,39637,
5451,2560537,
5515,1331374,
5528,3174585,
5537,1606411,
5545,2147369,
5640,1751465,
5672,3077453,
5688,1430705,
5700,281630,
5717,107908,
5722,1841063,
5736,1652713,
5743,980530,
5776,563865,
5784,959285,
5799,1989223,
5814,2898937,
5837,2143540,
5857,3081810,
5870,2376514,
5878,394279,
5894,2908855,
5905,15694,
5930,607923,
5965,2942881,
6024,461187,
6028,174574,
6041,1682739,
6117,1412429,
6125,811612,
6134,960774,
6138,1558843,
6147,2721521,
6167,2294073,
6180,2385890,
6227,14172,
6237,3206948,
6247,2057992,
6252,280751,
6266,1910258,
6313,2294856,
6337,2328904,
6355,36665,
6365,3163411,
6384,445900,
6446,2950974,
6457,2534943,
6462,3014378,
6495,3159731,
6502,592291,
6513,1732187,
6610,1392440,
6651,2050098,
6656,1048290,
6681,1363964,
6692,2070379,
6702,1560176,
6736,1449813,
6763,437145,
6847,1902284,
6861,1643238,
6904,1899614,
6913,2608193,
6923,539212,
6976,488785,
6982,3194530,
6987,484245,
7001,1101383,
7038,2236871,
7050,2029736,
7094,1454689,
7107,2623337,
7161,113754,
7175,1848722,
7215,1110720,
7237,3244965,
7313,1439514,
7327,1881413,
7382,2769206,
7397,2908601,
7402,2212127,
7441,683205,
7609,362051,
7641,3293782,
7654,2046585,
7663,2455208,
7680,2000464,
7687,417305,
7692,2010297,
7704,1739738,
7763,1714467,
7780,461914,
7785,3054083,
7794,638714,
7818,1944317,
7831,1039817,
7867,1528819,
7887,659655,
7898,1439424,
7924,3101204,
7958,1290287,
7965,2479559,
7973,29983,
7977,149666,
7981,1191993,
7995,1108486,
7999,3126335,
8024,1614375,
8117,863691,
8137,188500,
8148,3395420,
8156,709201,
8198,54762,
8207,395479,
8247,2692766,
8263,797018,
8268,707985,
8272,2298416,
8278,1011563,
8298,3241378,
8397,2831272,
8403,672357,
8414,1949670,
8444,2101076,
8451,1302095,
8475,2542317,
8481,2588977,
8518,2346527,
8523,2569637,
8527,497783,
8562,229361,
8617,2337367,
8647,3363870,
8652,1409734,
8657,17906,
8665,1379536,
8698,3276697,
8731,3004135,
8755,2724968,
8761,1043105,
8765,1726118,
8782,2063685,
8787,1229133,
8794,1340939,
8805,1074772,
8824,1291650,
8829,1608919,
8853,1820107,
8870,1445911,
8882,2405239,
8920,451330,
8943,1527883,
8978,2019153,
8983,3235100,
9035,3125190,
9041,3065466,
9057,2101825,
9071,3357236,
9093,241538,
9104,2178585,
9108,3158741,
9115,2379791,
9122,271797,
9126,1609767,
9142,1144354,
9159,1232929,
9172,1241717,
9202,2127621,
9228,1044486,
9272,2576004,
9284,2244404,
9289,29486,
9302,3054234,
9339,2150770,
9344,530341,
9362,2918511,
9368,2713339,
9376,3263278,
9449,1816326,
9490,1859940,
9498,102931,
9516,2372949,
9522,1220744,
9550,205105,
9556,3733,
9587,2857725,
9598,339577,
