,order_id,tip
0,2196797,
1,1827621,
2,2461523,
3,2614670,
4,3110252,
5,2803975,
6,1864787,
7,2906490,
8,2924697,
9,1750084,
10,3088145,
11,13318,
12,2989905,
13,2639013,
14,2757217,
15,3038639,
16,3294399,
17,2178718,
18,3081445,
19,2222431,
20,1318796,
21,926418,
22,2364180,
23,2549875,
24,3032922,
25,2759030,
26,878518,
27,2733614,
28,2887138,
29,3001617,
30,2560500,
31,1993128,
32,242208,
33,673776,
34,3294802,
35,2133144,
36,2564128,
37,1500681,
38,1505214,
39,1308123,
40,1458129,
41,739987,
42,2780124,
43,1447810,
44,3176785,
45,2708761,
46,1789152,
47,180627,
48,2041929,
49,2499603,
50,1016866,
51,142062,
52,2008056,
53,1056167,
54,1162736,
55,1905437,
56,3411419,
57,3529,
58,1374681,
59,405264,
60,208213,
61,1979266,
62,540284,
63,2600069,
64,988,
65,2956359,
66,3072356,
67,1054904,
68,3012300,
69,2560537,
70,3174585,
71,1430705,
72,1989223,
73,2376514,
74,2942881,
75,174574,
76,1910258,
77,2328904,
78,2950974,
79,1392440,
80,1449813,
81,2608193,
82,539212,
83,488785,
84,484245,
85,1101383,
86,2029736,
87,113754,
88,1439514,
89,2769206,
90,683205,
91,2000464,
92,417305,
93,1739738,
94,3054083,
95,1039817,
96,659655,
97,863691,
98,188500,
99,1011563,
100,2831272,
101,2101076,
102,2346527,
103,2569637,
104,2337367,
105,1074772,
106,1820107,
107,451330,
108,2019153,
109,3125190,
110,2101825,
111,1609767,
112,1232929,
113,2150770,
114,1859940,
115,102931,
116,2372949,
117,3733,
118,339577,
119,531078,
120,192822,
121,2725594,
122,1017699,
123,3298943,
124,2125060,
125,2081127,
126,2342041,
127,428232,
128,1224638,
129,78051,
130,1408873,
131,812040,
132,2376860,
133,1696391,
134,3327840,
135,1063245,
136,2451495,
137,3002915,
138,261370,
139,2127707,
140,1307498,
141,2357159,
142,67479,
143,944659,
144,251996,
145,1738759,
146,1378817,
147,1436723,
148,553676,
149,1167274,
150,1556053,
151,2667408,
152,49291,
153,90628,
154,1515554,
155,2227916,
156,2513420,
157,2558109,
158,1941111,
159,1786829,
160,2626310,
161,917873,
162,2943041,
163,2802645,
164,1537934,
165,2436377,
166,1241668,
167,1114234,
168,92317,
169,3415312,
170,83856,
171,1652829,
172,1963578,
173,2144171,
174,1088647,
175,1534424,
176,718132,
177,1305670,
178,509989,
179,3271309,
180,1393688,
181,1880459,
182,1196150,
183,979263,
184,374322,
185,2742119,
186,1148045,
187,2435106,
188,914910,
189,1832849,
190,2314737,
191,127522,
192,1288850,
193,1441412,
194,2555679,
195,96292,
196,2753827,
197,395208,
198,637980,
199,1392921,
200,1940438,
201,1389513,
202,1504831,
203,2987108,
204,2614856,
205,221711,
206,2143665,
207,2042218,
208,2573243,
209,1453822,
210,2216237,
211,443227,
212,2330932,
213,1860271,
214,2406692,
215,1510345,
216,300459,
217,1438109,
218,393494,
219,2717227,
220,1922310,
221,604625,
222,526858,
223,327915,
224,2065685,
225,364097,
226,1461756,
227,1663465,
228,2916351,
229,1678834,
230,3367947,
231,249702,
232,1263386,
233,3392152,
234,2237430,
235,1725556,
236,1476764,
237,401928,
238,1489846,
239,796337,
240,169422,
241,3251213,
242,2479253,
243,1123114,
244,1289473,
245,472417,
246,723753,
247,580476,
248,2597017,
249,3025307,
250,1345715,
251,2085640,
252,3335299,
253,1410397,
254,1503135,
255,3250346,
256,2652449,
257,3094816,
258,164257,
259,2561233,
260,1896032,
261,3171516,
262,935344,
263,27339,
264,1142716,
265,1704859,
266,46340,
267,1630533,
268,2416865,
269,3077618,
270,1269882,
271,1855656,
272,1779225,
273,3067161,
274,2871086,
275,2973176,
276,2034042,
277,633569,
278,2277161,
279,3288985,
280,2074271,
281,1377327,
282,2609167,
283,1927184,
284,3031079,
285,2912252,
286,1308481,
287,1549331,
288,3202796,
289,1090155,
290,1300165,
291,764206,
292,1634309,
293,1995260,
294,2493959,
295,220180,
296,1339827,
297,6695,
298,779069,
299,2669429,
300,317537,
301,1829993,
302,186342,
303,1758197,
304,268712,
305,1246879,
306,3401644,
307,2491974,
308,376933,
309,3050274,
310,1639235,
311,3383671,
312,608020,
313,2065616,
314,3237574,
315,1223773,
316,1082244,
317,1631034,
318,2903282,
319,500855,
320,1174747,
321,76113,
322,822491,
323,960700,
324,2721390,
325,3194255,
326,2107602,
327,2834777,
328,1298513,
329,2760304,
330,101843,
331,1867462,
332,163679,
333,2640820,
334,894711,
335,3218537,
336,3289681,
337,2359414,
338,44208,
339,1687224,
340,3276317,
341,3335689,
342,30739,
343,773433,
344,3303655,
345,3390062,
346,1357889,
347,407451,
348,1507357,
349,1533428,
350,1728833,
351,2362492,
352,791162,
353,3217286,
354,2545099,
355,2077487,
356,1351660,
357,2519194,
358,2853765,
359,2486302,
360,524333,
361,3002092,
362,178541,
363,1564802,
364,374806,
365,1979738,
366,1086428,
367,332488,
368,893162,
369,1332864,
370,846154,
371,1279598,
372,1911114,
373,1773153,
374,183932,
375,1100193,
376,3379094,
377,1696468,
378,2102995,
379,1440983,
380,1250869,
381,2992254,
382,221742,
383,2545948,
384,3236785,
385,1625859,
386,1435886,
387,126793,
388,2713679,
389,1336754,
390,2619232,
391,718466,
392,3137173,
393,1067531,
394,2658681,
395,1315069,
396,2009712,
397,901415,
398,129926,
399,28696,
400,1312596,
401,1254380,
402,3023704,
403,1907607,
404,659909,
405,1769739,
406,3331469,
407,1188813,
408,3107093,
409,501582,
410,134419,
411,2990314,
412,872361,
413,374606,
414,2868479,
415,2474551,
416,812023,
417,776848,
418,1008627,
419,1376142,
420,1289521,
421,214187,
422,179504,
423,911951,
424,1177246,
425,1490598,
426,2065398,
427,1529138,
428,2018860,
429,2766487,
430,783074,
431,1836043,
432,2734758,
433,1506044,
434,852435,
435,1015146,
436,950032,
437,3260987,
438,2117424,
439,562888,
440,232180,
441,3264599,
442,3288371,
443,2164759,
444,1888026,
445,1501646,
446,3334867,
447,2877213,
448,20018,
449,2016450,
450,591499,
451,3277161,
452,572329,
453,2138164,
454,1758870,
455,2748224,
456,1441408,
457,26611,
458,1989622,
459,2335253,
460,1368523,
461,737719,
462,689584,
463,2895690,
464,2484792,
465,772327,
466,1496873,
467,2865637,
468,456185,
469,451711,
470,2703002,
471,1947936,
472,3372129,
473,1852279,
474,1057242,
475,3130140,
476,817343,
477,1745540,
478,677693,
479,3363061,
480,1877053,
481,412840,
482,2684178,
483,1056049,
484,825795,
485,2806411,
486,336488,
487,1213787,
488,3339983,
489,1793342,
490,2244854,
491,2477115,
492,1694924,
493,739040,
494,2247613,
495,353756,
496,448754,
497,2263190,
498,1914195,
499,1104396,
500,1642566,
501,1841480,
502,147343,
503,1961975,
504,3049964,
505,1457207,
506,1110216,
507,3267554,
508,3231239,
509,3408416,
510,1230287,
511,919214,
512,1819437,
513,1951006,
514,3369062,
515,166425,
516,1649031,
517,2542094,
518,1700059,
519,232701,
520,3271122,
521,1405330,
522,3029663,
523,1818779,
524,1540354,
525,2518043,
526,3112861,
527,2020717,
528,3074750,
529,1310253,
530,3286610,
531,324388,
532,2098907,
533,3005197,
534,3068145,
535,2656059,
536,1060499,
537,480184,
538,2784999,
539,1755968,
540,3265834,
541,1308679,
542,2128395,
543,2703783,
544,1953977,
545,463257,
546,2191953,
547,984873,
548,580860,
549,872058,
550,1747911,
551,2460981,
552,2486698,
553,691056,
554,649627,
555,1853650,
556,1334972,
557,3231689,
558,3337444,
559,3166535,
560,1658143,
561,1521534,
562,409308,
563,759590,
564,977207,
565,1917041,
566,2536678,
567,987848,
568,573230,
569,3097902,
570,2971471,
571,2427682,
572,1516085,
573,779885,
574,2769899,
575,2997075,
576,702157,
577,3237685,
578,3173632,
579,1832308,
580,392047,
581,194909,
582,1834996,
583,299379,
584,615642,
585,1221959,
586,489031,
587,3151288,
588,3331602,
589,1614274,
590,2197473,
591,2838310,
592,2124838,
593,609127,
594,2645607,
595,13066,
596,1220959,
597,3062848,
598,1475448,
599,2655103,
600,872066,
601,1773888,
602,2748233,
603,42210,
604,2376382,
605,2873224,
606,2842892,
607,434802,
608,788530,
609,2911814,
610,3022502,
611,1608036,
612,656865,
613,1910288,
614,3172170,
615,69233,
616,2957879,
617,3188025,
618,2282714,
619,124285,
620,2622244,
621,2092703,
622,625829,
623,3228819,
624,3322557,
625,3112455,
626,605267,
627,869470,
628,3260554,
629,3393060,
630,116850,
631,2043009,
632,1976215,
633,1174191,
634,1023945,
635,742327,
636,2228786,
637,1640271,
638,684652,
639,3110894,
640,176235,
641,2939254,
642,1171381,
643,19097,
644,505497,
645,137868,
646,1844993,
647,2011037,
648,3202425,
649,15929,
650,1144774,
651,2478843,
652,2590769,
653,1452068,
654,2265446,
655,89864,
656,2766077,
657,286505,
658,183548,
659,3097248,
660,1811385,
661,794887,
662,513619,
663,1624731,
664,1744143,
665,2317342,
666,3005037,
667,1152129,
668,3121639,
669,3123692,
670,1985245,
671,2708199,
672,1423791,
673,995244,
674,2730940,
675,1940447,
676,3143940,
677,1667199,
678,1467877,
679,169843,
680,1681868,
681,1391123,
682,1981706,
683,1146409,
684,2568457,
685,3203982,
686,683555,
687,350829,
688,623638,
689,1120519,
690,577729,
691,1038672,
692,603293,
693,1405998,
694,1647333,
695,1716870,
696,883730,
697,1270268,
698,1471161,
699,2233216,
700,3010243,
701,1149855,
702,2208921,
703,1705038,
704,2588460,
705,821581,
706,16453,
707,1876333,
708,2212701,
709,1417278,
710,212317,
711,2285782,
712,3163983,
713,2658264,
714,1980038,
715,2026445,
716,957464,
717,1406888,
718,2221092,
719,3364387,
720,2397010,
721,322784,
722,1547261,
723,2733086,
724,3186485,
725,1351723,
726,2773834,
727,2004451,
728,1293462,
729,1474612,
730,1028054,
731,1536560,
732,2284276,
733,2414407,
734,518525,
735,2449995,
736,1579001,
737,877873,
738,271311,
739,2450897,
740,1744744,
741,1719217,
742,2970747,
743,1684202,
744,1611268,
745,2615857,
746,1275117,
747,2338783,
748,568071,
749,1815604,
750,2237858,
751,50141,
752,1478236,
753,2448726,
754,1395872,
755,466864,
756,3233180,
757,2493143,
758,2019002,
759,17188,
760,283068,
761,3165557,
762,2749321,
763,2709723,
764,2042436,
765,2069010,
766,1809422,
767,2459190,
768,1305076,
769,394490,
770,157238,
771,710176,
772,2356986,
773,3130851,
774,2847278,
775,2529021,
776,1247668,
777,368678,
778,3277922,
779,2209655,
780,2887308,
781,821724,
782,3072637,
783,1576440,
784,3099309,
785,346741,
786,2960144,
787,2514509,
788,126797,
789,2611686,
790,462482,
791,509434,
792,1385314,
793,3338030,
794,2845138,
795,3057029,
796,1217452,
797,2255388,
798,154383,
799,145975,
800,1187492,
801,2963630,
802,1756193,
803,869810,
804,1868999,
805,2359073,
806,1630900,
807,1970863,
808,1266426,
809,2270027,
810,1635247,
811,1886091,
812,1174219,
813,1061507,
814,1538485,
815,1233543,
816,412188,
817,1380699,
818,1403288,
819,178653,
820,543294,
821,3210857,
822,2114410,
823,2715304,
824,2407582,
825,3255483,
826,1156496,
827,3368213,
828,2969849,
829,528034,
830,2946173,
831,929316,
832,2831368,
833,2279874,
834,1682211,
835,2245073,
836,1493686,
837,1299917,
838,1222515,
839,588592,
840,518710,
841,1890287,
842,3245169,
843,1374304,
844,145138,
845,344890,
846,3288092,
847,897664,
848,14538,
849,2949150,
850,2537705,
851,330588,
852,2793861,
853,2418463,
854,2781743,
855,2927937,
856,421430,
857,730844,
858,867392,
859,2056677,
860,283578,
861,174291,
862,414798,
863,493475,
864,621183,
865,1328373,
866,2830040,
867,2492576,
868,2332093,
869,583113,
870,1342893,
871,3248472,
872,2857916,
873,496883,
874,670406,
875,1905539,
876,20990,
877,1103882,
878,700442,
879,2527806,
880,3282955,
881,35864,
882,2158261,
883,172315,
884,772960,
885,1063038,
886,1075839,
887,3033935,
888,1737444,
889,2749866,
890,297648,
891,1712033,
892,815874,
893,2844786,
894,3376866,
895,385170,
896,1342033,
897,2442789,
898,1090894,
899,1892224,
900,3095480,
901,623591,
902,805747,
903,2568082,
904,476328,
905,2615153,
906,2881360,
907,1635763,
908,1192940,
909,613071,
910,2968597,
911,3344027,
912,3392242,
913,2957244,
914,2717601,
915,1233389,
916,3120718,
917,2925161,
918,2417249,
919,2064762,
920,1412215,
921,2649354,
922,510773,
923,3040271,
924,518377,
925,3229295,
926,408001,
927,3285446,
928,918345,
929,1952310,
930,916720,
931,1587869,
932,1238511,
933,3321425,
934,2447221,
935,812425,
936,853106,
937,1067731,
938,220760,
939,208789,
940,804120,
941,2360161,
942,1138822,
943,1007933,
944,2145425,
945,836851,
946,353483,
947,862291,
948,2809599,
949,1354004,
950,3090159,
951,306460,
952,248212,
953,3095713,
954,2021371,
955,1583092,
956,2745127,
957,343818,
958,1080736,
959,1166491,
960,1453199,
961,1244073,
962,521634,
963,1005001,
964,1258418,
965,3055700,
966,2043219,
967,1183453,
968,1990708,
969,368504,
970,2537703,
971,1142264,
972,1496020,
973,138660,
974,2726438,
975,472055,
976,1927260,
977,2451174,
978,890832,
979,1980909,
980,1024299,
981,1734238,
982,1850602,
983,1579908,
984,430374,
985,1311384,
986,149036,
987,2129175,
988,770916,
989,2305058,
990,1362948,
991,3113974,
992,705795,
993,2509721,
994,495378,
995,1213213,
996,917387,
997,701692,
998,814876,
999,49506,
1000,2293797,
1001,581953,
1002,131382,
1003,1311595,
1004,1117693,
1005,3028094,
1006,2208998,
1007,3133379,
1008,2123695,
